ProductID,ProductName,Category,UnitPrice,StockQuantity,Supplier
2000,Electronics-Be,Electronics,969.31,350,TechCorp
2001,Electronics-Be,Clothing,412.35,780,StyleSupply
2002,Office-Family,Clothing,866,65,HomeGoodsInc
2003,Electronics-Training,Clothing,385.18,420,OfficeWorld
2004,Office-Where,Home,927.25,1500,TechCorp
2005,Office-Huge,Home,428.78,33,StyleSupply
2006,Office-Class,Clothing,198,999,HomeGoodsInc
2007,Clothing-Over,Electronics,583.39,210,OfficeWorld
2008,Electronics-Skin,Home,66.59,12,TechCorp
2009,Office-Raise,Clothing,66.31,600,StyleSupply
2010,Electronics-Themselves,Clothing,77.84,350,TechCorp
2011,Electronics-Religious,Clothing,409.74,780,StyleSupply
2012,Clothing-Artist,Electronics,623.19,65,HomeGoodsInc
2013,Office-Cultural,Home,935.36,420,OfficeWorld
2014,Clothing-Eat,Home,246.3,1500,TechCorp
2015,Office-Itself,Clothing,674.97,33,StyleSupply
2016,Home-He,Office,323.02,999,HomeGoodsInc
2017,Electronics-Feeling,Electronics,463.7,210,OfficeWorld
2018,Electronics-Nature,Electronics,542.26,12,TechCorp
2019,Home-History,Clothing,933.93,600,StyleSupply
2020,Electronics-Share,Clothing,375.83,350,TechCorp
2021,Clothing-Skill,Office,835.41,780,StyleSupply
2022,Home-Economy,Electronics,671.18,65,HomeGoodsInc
2023,Home-Yeah,Electronics,939.54,420,OfficeWorld
2024,Clothing-Paper,Home,124.27,1500,TechCorp
2025,Electronics-Assume,Clothing,279.62,33,StyleSupply
2026,Clothing-Use,Home,211.56,999,HomeGoodsInc
2027,Home-Purpose,Office,258.61,210,OfficeWorld
2028,Electronics-Take,Electronics,637.94,12,TechCorp
2029,Home-Yourself,Electronics,13.51,600,StyleSupply
2030,Clothing-First,Home,169.97,350,TechCorp
2031,Office-Develop,Office,565.3,780,StyleSupply
2032,Electronics-There,Electronics,945.6,65,HomeGoodsInc
2033,Clothing-Argue,Electronics,836.25,420,OfficeWorld
2034,Clothing-Feel,Office,136.17,1500,TechCorp
2035,Home-According,Home,899.99,33,StyleSupply
2036,Electronics-Candidate,Home,217.98,999,HomeGoodsInc
2037,Clothing-Meeting,Electronics,360.14,210,OfficeWorld
2038,Office-Soon,Clothing,926.51,12,TechCorp
2039,Clothing-Need,Clothing,976.44,600,StyleSupply
2040,Clothing-Determine,Office,34.54,350,TechCorp
2041,Home-Assume,Office,804.21,780,StyleSupply
2042,Clothing-Lawyer,Home,167.61,65,HomeGoodsInc
2043,Electronics-Practice,Office,873.45,420,OfficeWorld
2044,Office-Society,Clothing,207.58,1500,TechCorp
2045,Office-Next,Home,312.14,33,StyleSupply
2046,Clothing-Worry,Clothing,33.43,999,HomeGoodsInc
2047,Clothing-Hair,Office,334.98,210,OfficeWorld
2048,Electronics-Candidate,Home,357.63,12,TechCorp
2049,Office-Easy,Home,939.84,600,StyleSupply
2050,Electronics-Young,Home,186.78,350,TechCorp
2051,Home-Century,Electronics,117.32,780,StyleSupply
2052,Office-Year,Home,731.26,65,HomeGoodsInc
2053,Home-Ground,Office,610.15,420,OfficeWorld
2054,Electronics-Above,Office,900.51,1500,TechCorp
2055,Clothing-Politics,Home,53.94,33,StyleSupply
2056,Office-About,Electronics,524.72,999,HomeGoodsInc
2057,Clothing-Identify,Home,436.98,210,OfficeWorld
2058,Home-Wear,Home,666.75,12,TechCorp
2059,Electronics-Clear,Home,512.05,600,StyleSupply
2060,Office-Term,Home,408.38,350,TechCorp
2061,Home-Quite,Clothing,199.92,780,StyleSupply
2062,Office-Receive,Clothing,619.36,65,HomeGoodsInc
2063,Home-Good,Office,552.46,420,OfficeWorld
2064,Electronics-Stop,Home,294.04,1500,TechCorp
2065,Office-Animal,Home,470.34,33,StyleSupply
2066,Office-Occur,Clothing,516.06,999,HomeGoodsInc
2067,Clothing-Remain,Electronics,290.95,210,OfficeWorld
2068,Home-Read,Electronics,820.24,12,TechCorp
2069,Clothing-Garden,Home,232.39,600,StyleSupply
2070,Clothing-About,Clothing,34.18,350,TechCorp
2071,Clothing-Success,Office,615.16,780,StyleSupply
2072,Electronics-Become,Office,420.3,65,HomeGoodsInc
2073,Clothing-Executive,Office,499.43,420,OfficeWorld
2074,Clothing-Strong,Clothing,659.5,1500,TechCorp
2075,Electronics-Letter,Electronics,780.64,33,StyleSupply
2076,Clothing-Affect,Clothing,806.07,999,HomeGoodsInc
2077,Office-Ball,Electronics,561.83,210,OfficeWorld
2078,Electronics-Film,Office,142.01,12,TechCorp
2079,Office-Who,Home,950.54,600,StyleSupply
2080,Office-Doctor,Office,832.26,350,TechCorp
2081,Office-Light,Clothing,746.22,780,StyleSupply
2082,Office-Figure,Office,266.6,65,HomeGoodsInc
2083,Clothing-Cut,Home,768.16,420,OfficeWorld
2084,Office-Stuff,Clothing,281.85,1500,TechCorp
2085,Electronics-Officer,Home,242.15,33,StyleSupply
2086,Home-Of,Home,894.1,999,HomeGoodsInc
2087,Electronics-Rather,Clothing,159.32,210,OfficeWorld
2088,Office-Evening,Clothing,709.35,12,TechCorp
2089,Electronics-Action,Office,413.52,600,StyleSupply
2090,Office-Staff,Office,71.64,350,TechCorp
2091,Office-Mrs,Office,905.79,780,StyleSupply
2092,Electronics-Add,Office,482.21,65,HomeGoodsInc
2093,Home-Real,Home,755.94,420,OfficeWorld
2094,Office-Fight,Clothing,493.35,1500,TechCorp
2095,Home-Seem,Office,490.79,33,StyleSupply
2096,Office-Discuss,Home,672.18,999,HomeGoodsInc
2097,Office-Recent,Clothing,842.1,210,OfficeWorld
2098,Clothing-Trouble,Electronics,907.86,12,TechCorp
2099,Electronics-Several,Electronics,646.32,600,StyleSupply
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,